time,Kyiv_33345,Boryspil_33347,Chornobyl_33231,Fastiv_33339,Byla_Tzerkva_33464,Baryshivka_33354,Yagotyn_33356,Myronivka_33466
2021-06-17 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18 18:00:00,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0
2021-06-19 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-19 18:00:00,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.4
2021-06-20 06:00:00,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3
2021-06-20 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-22 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-22 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-23 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-23 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-24 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-24 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2021-06-26 06:00:00,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
2021-06-26 18:00:00,0.5,3.0,0.0,0.4,0.0,0.0,26.0,9.0
2021-06-27 06:00:00,0.0,0.0,4.0,4.0,0.0,0.0,8.0,1.0
2021-06-27 18:00:00,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
2021-06-28 06:00:00,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2021-06-28 18:00:00,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
2021-06-29 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-29 18:00:00,7.0,0.3,5.0,6.0,0.7,0.0,0.0,9.0
2021-06-30 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-06-30 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01 06:00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
2021-07-01 18:00:00,0.1,0.0,0.0,0.0,0.1,0.0,0.3,0.0
2021-07-03 06:00:00,0.0,0.0,0.1,4.0,6.0,0.0,2.0,0.3
2021-07-03 18:00:00,0.0,0.3,0.0,0.0,0.0,3.0,16.0,6.0
2021-07-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04 18:00:00,3.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0
2021-07-05 06:00:00,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0
2021-07-05 18:00:00,0.0,0.0,0.0,3.0,0.0,0.0,0.3,0.0
2021-07-06 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-07-06 18:00:00,29.0,3.0,0.0,11.0,2.0,1.0,2.0,0.3
2021-07-07 06:00:00,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0
2021-07-07 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-08 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-08 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-09 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-09 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-10 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
